,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI,Cluster
218,344,Pag-Asa,PH175109008,Open Forest,0,14.28537893,1,0,0,0,1,0,206.4651324,LOW
219,345,Pag-Asa,PH175109008,Brush/Shrubs,0,23.55871987,0,1,0,0,1,1,348.7373402,LOW
220,346,Pag-Asa,PH175109008,Annual Crop,0,91.63367939,0,1,2,0,1,0,760.6830761,MID
221,347,Batong Buhay,PH175109003,Brush/Shrubs,0,52.91871452,0,0,2,0,3,1,410.079992,LOW
222,348,Malisbong,PH175109003,Brush/Shrubs,0,133.9986038,0,0,2,0,2,1,1058.17347,MID
223,349,Malisbong,PH175109003,,0,423.8084412,0,0,2,0,2,0,3219.630018,HIGH
224,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
225,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
226,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
227,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
228,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
229,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
230,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
231,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
232,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
233,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0,LOW
234,367,Burgos,PH175109011,Built Up,0,260.4488525,2,1,0,2,3,0,2148.505942,MID
235,368,Burgos,PH175109004,Grassland,0,105.7088051,0,1,0,2,2,1,866.4844226,MID
