,HCFAI,Accessibility,
381,849.6225261,Cluster 3,4
382,404.8343032,Cluster 0,1
383,644.872262,Cluster 0,1
384,1810.295956,Cluster 3,4
385,2604.168335,Cluster 1,2
386,269.637078,Cluster 0,1
387,135.1237384,Cluster 0,1
388,108.2245896,Cluster 0,1
389,104.9926068,Cluster 0,1
390,130.3172184,Cluster 0,1
391,126.601117,Cluster 0,1
392,157.5715428,Cluster 0,1
393,438.3005898,Cluster 0,1
394,456.3228524,Cluster 0,1
395,400.0435428,Cluster 0,1
396,120.5215487,Cluster 0,1
397,121.6337919,Cluster 0,1
398,114.7088194,Cluster 0,1
399,130.3854639,Cluster 0,1
400,161.504515,Cluster 0,1
401,268.018374,Cluster 0,1
402,108.051538,Cluster 0,1
403,101.2026834,Cluster 0,1
404,127.3145731,Cluster 0,1
405,179.7614209,Cluster 0,1
406,146.4417471,Cluster 0,1
407,100.6640496,Cluster 0,1
408,107.0406626,Cluster 0,1
409,137.7790283,Cluster 0,1
410,150.6463068,Cluster 0,1
411,177.6408678,Cluster 0,1
412,248.6679715,Cluster 0,1
413,443.2989581,Cluster 0,1
414,553.5280088,Cluster 0,1
415,544.4502503,Cluster 0,1
416,1257.470675,Cluster 3,4
417,1179.662473,Cluster 3,4
418,186.7849601,Cluster 0,1
419,153.9649358,Cluster 0,1
420,114.4901957,Cluster 0,1
421,111.8037483,Cluster 0,1
422,94.61635895,Cluster 0,1
423,114.7489219,Cluster 0,1
424,134.2780786,Cluster 0,1
425,259.195775,Cluster 0,1
426,315.5196088,Cluster 0,1
427,367.0614986,Cluster 0,1
428,202.9883154,Cluster 0,1
429,122.6069499,Cluster 0,1
430,84.06089506,Cluster 0,1
431,69.17564356,Cluster 0,1
432,104.527859,Cluster 0,1
433,132.8597065,Cluster 0,1
434,186.0344813,Cluster 0,1
435,136.7624206,Cluster 0,1
436,78.62005174,Cluster 0,1
437,120.3629064,Cluster 0,1
438,132.2401021,Cluster 0,1
439,131.0821635,Cluster 0,1
440,106.4659482,Cluster 0,1
441,72.86194126,Cluster 0,1
442,121.4450781,Cluster 0,1
443,138.2843071,Cluster 0,1
444,145.7838419,Cluster 0,1
445,210.9463878,Cluster 0,1
446,330.4926726,Cluster 0,1
447,300.5110886,Cluster 0,1
448,518.7767787,Cluster 0,1
449,701.4772332,Cluster 0,1
450,1216.68026,Cluster 3,4
451,418.1536912,Cluster 0,1
452,138.6959532,Cluster 0,1
453,131.4934483,Cluster 0,1
454,120.3987213,Cluster 0,1
455,120.4395706,Cluster 0,1
456,116.620245,Cluster 0,1
457,117.1750028,Cluster 0,1
458,258.5006146,Cluster 0,1
459,269.0922847,Cluster 0,1
460,326.888094,Cluster 0,1
461,185.8664748,Cluster 0,1
462,119.9667661,Cluster 0,1
463,80.72767621,Cluster 0,1
464,75.66651495,Cluster 0,1
465,91.05513959,Cluster 0,1
466,150.2078876,Cluster 0,1
467,162.0463818,Cluster 0,1
468,79.22666804,Cluster 0,1
469,62.92935134,Cluster 0,1
470,74.33782654,Cluster 0,1
471,100.1652394,Cluster 0,1
472,113.6323547,Cluster 0,1
473,77.85641961,Cluster 0,1
474,74.8052722,Cluster 0,1
475,133.0762375,Cluster 0,1
476,135.4749892,Cluster 0,1
477,155.0283069,Cluster 0,1
478,219.1819954,Cluster 0,1
479,232.2489523,Cluster 0,1
480,259.374956,Cluster 0,1
481,353.5055696,Cluster 0,1
482,467.3666348,Cluster 0,1
483,490.6423712,Cluster 0,1
484,436.0850291,Cluster 0,1
485,119.0288087,Cluster 0,1
