fid,id,left,top,right,bottom
501,501,492251.300719578925055,1441191.728244151920080,494156.556607904727571,1439541.728244151687250
502,502,492251.300719578925055,1439541.728244151687250,494156.556607904727571,1437891.728244151687250
503,503,492251.300719578925055,1437891.728244151687250,494156.556607904727571,1436241.728244151687250
504,504,492251.300719578925055,1436241.728244151687250,494156.556607904727571,1434591.728244151920080
505,505,492251.300719578925055,1434591.728244151920080,494156.556607904727571,1432941.728244151687250
506,506,492251.300719578925055,1432941.728244151687250,494156.556607904727571,1431291.728244151687250
507,507,492251.300719578925055,1431291.728244151687250,494156.556607904727571,1429641.728244151687250
508,508,492251.300719578925055,1429641.728244151687250,494156.556607904727571,1427991.728244151920080
509,509,492251.300719578925055,1427991.728244151920080,494156.556607904727571,1426341.728244151687250
510,510,492251.300719578925055,1426341.728244151687250,494156.556607904727571,1424691.728244151687250
511,511,492251.300719578925055,1424691.728244151687250,494156.556607904727571,1423041.728244151687250
512,512,492251.300719578925055,1423041.728244151687250,494156.556607904727571,1421391.728244151920080
513,513,492251.300719578925055,1421391.728244151920080,494156.556607904727571,1419741.728244151687250
514,514,492251.300719578925055,1419741.728244151687250,494156.556607904727571,1418091.728244151687250
515,515,492251.300719578925055,1418091.728244151687250,494156.556607904727571,1416441.728244151687250
516,516,492251.300719578925055,1416441.728244151687250,494156.556607904727571,1414791.728244151920080
517,517,492251.300719578925055,1414791.728244151920080,494156.556607904727571,1413141.728244151687250
518,518,492251.300719578925055,1413141.728244151687250,494156.556607904727571,1411491.728244151687250
519,519,492251.300719578925055,1411491.728244151687250,494156.556607904727571,1409841.728244151687250
520,520,492251.300719578925055,1409841.728244151687250,494156.556607904727571,1408191.728244151920080
521,521,492251.300719578925055,1408191.728244151920080,494156.556607904727571,1406541.728244151687250
522,522,492251.300719578925055,1406541.728244151687250,494156.556607904727571,1404891.728244151687250
523,523,492251.300719578925055,1404891.728244151687250,494156.556607904727571,1403241.728244151687250
530,530,493680.242635823262390,1450266.728244151687250,495585.498524149064906,1448616.728244151687250
531,531,493680.242635823262390,1448616.728244151687250,495585.498524149064906,1446966.728244151687250
532,532,493680.242635823262390,1446966.728244151687250,495585.498524149064906,1445316.728244151687250
533,533,493680.242635823262390,1445316.728244151687250,495585.498524149064906,1443666.728244151687250
534,534,493680.242635823262390,1443666.728244151687250,495585.498524149064906,1442016.728244151687250
535,535,493680.242635823262390,1442016.728244151687250,495585.498524149064906,1440366.728244151687250
536,536,493680.242635823262390,1440366.728244151687250,495585.498524149064906,1438716.728244151687250
537,537,493680.242635823262390,1438716.728244151687250,495585.498524149064906,1437066.728244151687250
538,538,493680.242635823262390,1437066.728244151687250,495585.498524149064906,1435416.728244151687250
539,539,493680.242635823262390,1435416.728244151687250,495585.498524149064906,1433766.728244151687250
540,540,493680.242635823262390,1433766.728244151687250,495585.498524149064906,1432116.728244151687250
541,541,493680.242635823262390,1432116.728244151687250,495585.498524149064906,1430466.728244151687250
542,542,493680.242635823262390,1430466.728244151687250,495585.498524149064906,1428816.728244151687250
543,543,493680.242635823262390,1428816.728244151687250,495585.498524149064906,1427166.728244151687250
544,544,493680.242635823262390,1427166.728244151687250,495585.498524149064906,1425516.728244151687250
545,545,493680.242635823262390,1425516.728244151687250,495585.498524149064906,1423866.728244151687250
546,546,493680.242635823262390,1423866.728244151687250,495585.498524149064906,1422216.728244151687250
547,547,493680.242635823262390,1422216.728244151687250,495585.498524149064906,1420566.728244151687250
548,548,493680.242635823262390,1420566.728244151687250,495585.498524149064906,1418916.728244151687250
549,549,493680.242635823262390,1418916.728244151687250,495585.498524149064906,1417266.728244151687250
550,550,493680.242635823262390,1417266.728244151687250,495585.498524149064906,1415616.728244151687250
551,551,493680.242635823262390,1415616.728244151687250,495585.498524149064906,1413966.728244151687250
552,552,493680.242635823262390,1413966.728244151687250,495585.498524149064906,1412316.728244151687250
553,553,493680.242635823262390,1412316.728244151687250,495585.498524149064906,1410666.728244151687250
554,554,493680.242635823262390,1410666.728244151687250,495585.498524149064906,1409016.728244151687250
555,555,493680.242635823262390,1409016.728244151687250,495585.498524149064906,1407366.728244151687250
556,556,493680.242635823262390,1407366.728244151687250,495585.498524149064906,1405716.728244151687250
557,557,493680.242635823262390,1405716.728244151687250,495585.498524149064906,1404066.728244151687250
564,564,495109.184552067541517,1452741.728244151687250,497014.440440393344034,1451091.728244151687250
565,565,495109.184552067541517,1451091.728244151687250,497014.440440393344034,1449441.728244151687250
566,566,495109.184552067541517,1449441.728244151687250,497014.440440393344034,1447791.728244151920080
567,567,495109.184552067541517,1447791.728244151920080,497014.440440393344034,1446141.728244151687250
568,568,495109.184552067541517,1446141.728244151687250,497014.440440393344034,1444491.728244151687250
569,569,495109.184552067541517,1444491.728244151687250,497014.440440393344034,1442841.728244151687250
570,570,495109.184552067541517,1442841.728244151687250,497014.440440393344034,1441191.728244151920080
571,571,495109.184552067541517,1441191.728244151920080,497014.440440393344034,1439541.728244151687250
572,572,495109.184552067541517,1439541.728244151687250,497014.440440393344034,1437891.728244151687250
573,573,495109.184552067541517,1437891.728244151687250,497014.440440393344034,1436241.728244151687250
574,574,495109.184552067541517,1436241.728244151687250,497014.440440393344034,1434591.728244151920080
575,575,495109.184552067541517,1434591.728244151920080,497014.440440393344034,1432941.728244151687250
576,576,495109.184552067541517,1432941.728244151687250,497014.440440393344034,1431291.728244151687250
577,577,495109.184552067541517,1431291.728244151687250,497014.440440393344034,1429641.728244151687250
578,578,495109.184552067541517,1429641.728244151687250,497014.440440393344034,1427991.728244151920080
579,579,495109.184552067541517,1427991.728244151920080,497014.440440393344034,1426341.728244151687250
580,580,495109.184552067541517,1426341.728244151687250,497014.440440393344034,1424691.728244151687250
581,581,495109.184552067541517,1424691.728244151687250,497014.440440393344034,1423041.728244151687250
582,582,495109.184552067541517,1423041.728244151687250,497014.440440393344034,1421391.728244151920080
583,583,495109.184552067541517,1421391.728244151920080,497014.440440393344034,1419741.728244151687250
584,584,495109.184552067541517,1419741.728244151687250,497014.440440393344034,1418091.728244151687250
585,585,495109.184552067541517,1418091.728244151687250,497014.440440393344034,1416441.728244151687250
586,586,495109.184552067541517,1416441.728244151687250,497014.440440393344034,1414791.728244151920080
587,587,495109.184552067541517,1414791.728244151920080,497014.440440393344034,1413141.728244151687250
588,588,495109.184552067541517,1413141.728244151687250,497014.440440393344034,1411491.728244151687250
589,589,495109.184552067541517,1411491.728244151687250,497014.440440393344034,1409841.728244151687250
590,590,495109.184552067541517,1409841.728244151687250,497014.440440393344034,1408191.728244151920080
591,591,495109.184552067541517,1408191.728244151920080,497014.440440393344034,1406541.728244151687250
592,592,495109.184552067541517,1406541.728244151687250,497014.440440393344034,1404891.728244151687250
