fid,id,left,top,right,bottom
136,136,476532.939640891330782,1407366.728244151687250,478438.195529217133299,1405716.728244151687250
154,154,477961.881557135668118,1436241.728244151687250,479867.137445461470634,1434591.728244151920080
155,155,477961.881557135668118,1434591.728244151920080,479867.137445461470634,1432941.728244151687250
156,156,477961.881557135668118,1432941.728244151687250,479867.137445461470634,1431291.728244151687250
157,157,477961.881557135668118,1431291.728244151687250,479867.137445461470634,1429641.728244151687250
158,158,477961.881557135668118,1429641.728244151687250,479867.137445461470634,1427991.728244151920080
159,159,477961.881557135668118,1427991.728244151920080,479867.137445461470634,1426341.728244151687250
160,160,477961.881557135668118,1426341.728244151687250,479867.137445461470634,1424691.728244151687250
161,161,477961.881557135668118,1424691.728244151687250,479867.137445461470634,1423041.728244151687250
162,162,477961.881557135668118,1423041.728244151687250,479867.137445461470634,1421391.728244151920080
163,163,477961.881557135668118,1421391.728244151920080,479867.137445461470634,1419741.728244151687250
164,164,477961.881557135668118,1419741.728244151687250,479867.137445461470634,1418091.728244151687250
165,165,477961.881557135668118,1418091.728244151687250,479867.137445461470634,1416441.728244151687250
166,166,477961.881557135668118,1416441.728244151687250,479867.137445461470634,1414791.728244151920080
167,167,477961.881557135668118,1414791.728244151920080,479867.137445461470634,1413141.728244151687250
168,168,477961.881557135668118,1413141.728244151687250,479867.137445461470634,1411491.728244151687250
169,169,477961.881557135668118,1411491.728244151687250,479867.137445461470634,1409841.728244151687250
170,170,477961.881557135668118,1409841.728244151687250,479867.137445461470634,1408191.728244151920080
171,171,477961.881557135668118,1408191.728244151920080,479867.137445461470634,1406541.728244151687250
188,188,479390.823473380005453,1437066.728244151687250,481296.079361705807969,1435416.728244151687250
189,189,479390.823473380005453,1435416.728244151687250,481296.079361705807969,1433766.728244151687250
190,190,479390.823473380005453,1433766.728244151687250,481296.079361705807969,1432116.728244151687250
191,191,479390.823473380005453,1432116.728244151687250,481296.079361705807969,1430466.728244151687250
192,192,479390.823473380005453,1430466.728244151687250,481296.079361705807969,1428816.728244151687250
193,193,479390.823473380005453,1428816.728244151687250,481296.079361705807969,1427166.728244151687250
194,194,479390.823473380005453,1427166.728244151687250,481296.079361705807969,1425516.728244151687250
195,195,479390.823473380005453,1425516.728244151687250,481296.079361705807969,1423866.728244151687250
196,196,479390.823473380005453,1423866.728244151687250,481296.079361705807969,1422216.728244151687250
197,197,479390.823473380005453,1422216.728244151687250,481296.079361705807969,1420566.728244151687250
198,198,479390.823473380005453,1420566.728244151687250,481296.079361705807969,1418916.728244151687250
199,199,479390.823473380005453,1418916.728244151687250,481296.079361705807969,1417266.728244151687250
200,200,479390.823473380005453,1417266.728244151687250,481296.079361705807969,1415616.728244151687250
201,201,479390.823473380005453,1415616.728244151687250,481296.079361705807969,1413966.728244151687250
202,202,479390.823473380005453,1413966.728244151687250,481296.079361705807969,1412316.728244151687250
203,203,479390.823473380005453,1412316.728244151687250,481296.079361705807969,1410666.728244151687250
204,204,479390.823473380005453,1410666.728244151687250,481296.079361705807969,1409016.728244151687250
205,205,479390.823473380005453,1409016.728244151687250,481296.079361705807969,1407366.728244151687250
206,206,479390.823473380005453,1407366.728244151687250,481296.079361705807969,1405716.728244151687250
224,224,480819.765389624342788,1436241.728244151687250,482725.021277950087097,1434591.728244151920080
