id,X,Y
905,508922.2897,1408191.728
906,508922.2897,1406541.728
907,508922.2897,1404891.728
908,508922.2897,1403241.728
914,510351.2317,1451916.728
915,510351.2317,1450266.728
916,510351.2317,1448616.728
917,510351.2317,1446966.728
918,510351.2317,1445316.728
919,510351.2317,1443666.728
920,510351.2317,1442016.728
921,510351.2317,1440366.728
922,510351.2317,1438716.728
923,510351.2317,1437066.728
924,510351.2317,1435416.728
925,510351.2317,1433766.728
926,510351.2317,1432116.728
927,510351.2317,1430466.728
928,510351.2317,1428816.728
929,510351.2317,1427166.728
930,510351.2317,1425516.728
931,510351.2317,1423866.728
932,510351.2317,1422216.728
933,510351.2317,1420566.728
934,510351.2317,1418916.728
935,510351.2317,1417266.728
936,510351.2317,1415616.728
937,510351.2317,1413966.728
938,510351.2317,1412316.728
939,510351.2317,1410666.728
940,510351.2317,1409016.728
941,510351.2317,1407366.728
942,510351.2317,1405716.728
943,510351.2317,1404066.728
949,511780.1736,1451091.728
950,511780.1736,1449441.728
951,511780.1736,1447791.728
952,511780.1736,1446141.728
953,511780.1736,1444491.728
954,511780.1736,1442841.728
955,511780.1736,1441191.728
956,511780.1736,1439541.728
957,511780.1736,1437891.728
958,511780.1736,1436241.728
959,511780.1736,1434591.728
960,511780.1736,1432941.728
961,511780.1736,1431291.728
962,511780.1736,1429641.728
963,511780.1736,1427991.728
964,511780.1736,1426341.728
965,511780.1736,1424691.728
966,511780.1736,1423041.728
967,511780.1736,1421391.728
968,511780.1736,1419741.728
969,511780.1736,1418091.728
970,511780.1736,1416441.728
971,511780.1736,1414791.728
972,511780.1736,1413141.728
973,511780.1736,1411491.728
974,511780.1736,1409841.728
975,511780.1736,1408191.728
976,511780.1736,1406541.728
977,511780.1736,1404891.728
978,511780.1736,1403241.728
986,513209.1155,1448616.728
987,513209.1155,1446966.728
988,513209.1155,1445316.728
989,513209.1155,1443666.728
990,513209.1155,1442016.728
991,513209.1155,1440366.728
992,513209.1155,1438716.728
993,513209.1155,1437066.728
994,513209.1155,1435416.728
995,513209.1155,1433766.728
996,513209.1155,1432116.728
997,513209.1155,1430466.728
998,513209.1155,1428816.728
999,513209.1155,1427166.728
1000,513209.1155,1425516.728
1001,513209.1155,1423866.728
1002,513209.1155,1422216.728
1003,513209.1155,1420566.728
1004,513209.1155,1418916.728
1005,513209.1155,1417266.728
1006,513209.1155,1415616.728
1007,513209.1155,1413966.728
1008,513209.1155,1412316.728
1009,513209.1155,1410666.728
1010,513209.1155,1409016.728
1011,513209.1155,1407366.728
1012,513209.1155,1405716.728
1013,513209.1155,1404066.728
1020,514638.0574,1449441.728
1021,514638.0574,1447791.728
1022,514638.0574,1446141.728
1023,514638.0574,1444491.728
1024,514638.0574,1442841.728
1025,514638.0574,1441191.728
1026,514638.0574,1439541.728
1027,514638.0574,1437891.728
1028,514638.0574,1436241.728
1029,514638.0574,1434591.728
1030,514638.0574,1432941.728
1031,514638.0574,1431291.728
1032,514638.0574,1429641.728
1033,514638.0574,1427991.728
1034,514638.0574,1426341.728
1035,514638.0574,1424691.728
1036,514638.0574,1423041.728
1037,514638.0574,1421391.728
1038,514638.0574,1419741.728
1039,514638.0574,1418091.728
1040,514638.0574,1416441.728
1041,514638.0574,1414791.728
1042,514638.0574,1413141.728
1043,514638.0574,1411491.728
1044,514638.0574,1409841.728
1045,514638.0574,1408191.728
1046,514638.0574,1406541.728
1047,514638.0574,1404891.728
1048,514638.0574,1403241.728
1056,516066.9993,1448616.728
1057,516066.9993,1446966.728
1058,516066.9993,1445316.728
1059,516066.9993,1443666.728
1060,516066.9993,1442016.728
1061,516066.9993,1440366.728
1062,516066.9993,1438716.728
1063,516066.9993,1437066.728
1064,516066.9993,1435416.728
1065,516066.9993,1433766.728
1066,516066.9993,1432116.728
1067,516066.9993,1430466.728
1068,516066.9993,1428816.728
1069,516066.9993,1427166.728
1070,516066.9993,1425516.728
1071,516066.9993,1423866.728
1072,516066.9993,1422216.728
1073,516066.9993,1420566.728
1074,516066.9993,1418916.728
1075,516066.9993,1417266.728
1076,516066.9993,1415616.728
1077,516066.9993,1413966.728
1078,516066.9993,1412316.728
1079,516066.9993,1410666.728
1080,516066.9993,1409016.728
1081,516066.9993,1407366.728
1082,516066.9993,1405716.728
1083,516066.9993,1404066.728
1091,517495.9412,1447791.728
1092,517495.9412,1446141.728
1093,517495.9412,1444491.728
1094,517495.9412,1442841.728
1095,517495.9412,1441191.728
1096,517495.9412,1439541.728
1097,517495.9412,1437891.728
1098,517495.9412,1436241.728
1099,517495.9412,1434591.728
1100,517495.9412,1432941.728
1101,517495.9412,1431291.728
1102,517495.9412,1429641.728
1103,517495.9412,1427991.728
1104,517495.9412,1426341.728
1105,517495.9412,1424691.728
1106,517495.9412,1423041.728
1107,517495.9412,1421391.728
1108,517495.9412,1419741.728
1109,517495.9412,1418091.728
1110,517495.9412,1416441.728
1111,517495.9412,1414791.728
1112,517495.9412,1413141.728
1113,517495.9412,1411491.728
1114,517495.9412,1409841.728
1115,517495.9412,1408191.728
1116,517495.9412,1406541.728
1117,517495.9412,1404891.728
1118,517495.9412,1403241.728
1126,518924.8832,1448616.728
1127,518924.8832,1446966.728
1128,518924.8832,1445316.728
1129,518924.8832,1443666.728
1130,518924.8832,1442016.728
1131,518924.8832,1440366.728
1132,518924.8832,1438716.728
1133,518924.8832,1437066.728
1134,518924.8832,1435416.728
1135,518924.8832,1433766.728
1136,518924.8832,1432116.728
1137,518924.8832,1430466.728
1138,518924.8832,1428816.728
1139,518924.8832,1427166.728
1140,518924.8832,1425516.728
1141,518924.8832,1423866.728
1142,518924.8832,1422216.728
1143,518924.8832,1420566.728
1144,518924.8832,1418916.728
1145,518924.8832,1417266.728
1146,518924.8832,1415616.728
1147,518924.8832,1413966.728
1148,518924.8832,1412316.728
1149,518924.8832,1410666.728
1150,518924.8832,1409016.728
1151,518924.8832,1407366.728
1152,518924.8832,1405716.728
1153,518924.8832,1404066.728
1154,518924.8832,1402416.728
1162,520353.8251,1446141.728
1163,520353.8251,1444491.728
1164,520353.8251,1442841.728
1165,520353.8251,1441191.728
1166,520353.8251,1439541.728
1167,520353.8251,1437891.728
1168,520353.8251,1436241.728
1169,520353.8251,1434591.728
1170,520353.8251,1432941.728
1171,520353.8251,1431291.728
1172,520353.8251,1429641.728
1173,520353.8251,1427991.728
1174,520353.8251,1426341.728
1175,520353.8251,1424691.728
1176,520353.8251,1423041.728
