fid,id,left,top,right,bottom,geom_wkt,fid_2,LH
168,168,477961.8816,1413141.728,479867.1374,1411491.728,"MultiPolygon (((120.79843513 12.77042203, 120.80281589 12.77788312, 120.81158968 12.77788978, 120.81598219 12.77043534, 120.81160117 12.76297447, 120.80282789 12.76296781, 120.79843513 12.77042203)))",3,2
169,169,477961.8816,1411491.728,479867.1374,1409841.728,"MultiPolygon (((120.79844738 12.75550672, 120.80282789 12.76296781, 120.81160117 12.76297447, 120.81599342 12.75552002, 120.81161264 12.74805914, 120.80283988 12.74805249, 120.79844738 12.75550672)))",3,2
170,170,477961.8816,1409841.728,479867.1374,1408191.728,"MultiPolygon (((120.79845962 12.7405914, 120.80283988 12.74805249, 120.81161264 12.74805914, 120.81600463 12.74060468, 120.8116241 12.7331438, 120.80285185 12.73313716, 120.79845962 12.7405914)))",,
171,171,477961.8816,1408191.728,479867.1374,1406541.728,"MultiPolygon (((120.79847184 12.72567606, 120.80285185 12.73313716, 120.8116241 12.7331438, 120.81601582 12.72568933, 120.81163555 12.71822844, 120.80286381 12.71822181, 120.79847184 12.72567606)))",,
188,188,479390.8235,1437066.728,481296.0794,1435416.728,"MultiPolygon (((120.81142737 12.98670235, 120.81581219 12.99416315, 120.82459352 12.99416948, 120.82898951 12.98671499, 120.82460442 12.9792544, 120.81582362 12.97924808, 120.81142737 12.98670235)))",3,2
189,189,479390.8235,1435416.728,481296.0794,1433766.728,"MultiPolygon (((120.81143906 12.97178727, 120.81582362 12.97924808, 120.82460442 12.9792544, 120.82900015 12.9717999, 120.82461532 12.96433931, 120.81583503 12.964333, 120.81143906 12.97178727)))",,
190,190,479390.8235,1433766.728,481296.0794,1432116.728,"MultiPolygon (((120.81145073 12.95687218, 120.81583503 12.964333, 120.82461532 12.96433931, 120.82901077 12.9568848, 120.8246262 12.9494242, 120.81584644 12.94941789, 120.81145073 12.95687218)))",,
191,191,479390.8235,1432116.728,481296.0794,1430466.728,"MultiPolygon (((120.81146239 12.94195707, 120.81584644 12.94941789, 120.8246262 12.9494242, 120.82902138 12.94196968, 120.82463706 12.93450907, 120.81585783 12.93450277, 120.81146239 12.94195707)))",,
192,192,479390.8235,1430466.728,481296.0794,1428816.728,"MultiPolygon (((120.81147403 12.92704195, 120.81585783 12.93450277, 120.82463706 12.93450907, 120.82903198 12.92705454, 120.82464792 12.91959393, 120.8158692 12.91958764, 120.81147403 12.92704195)))",,
193,193,479390.8235,1428816.728,481296.0794,1427166.728,"MultiPolygon (((120.81148566 12.91212681, 120.8158692 12.91958764, 120.82464792 12.91959393, 120.82904257 12.91213938, 120.82465876 12.90467877, 120.81588056 12.90467248, 120.81148566 12.91212681)))",,
194,194,479390.8235,1427166.728,481296.0794,1425516.728,"MultiPolygon (((120.81149727 12.89721165, 120.81588056 12.90467248, 120.82465876 12.90467877, 120.82905314 12.89722421, 120.82466959 12.88976359, 120.81589191 12.88975731, 120.81149727 12.89721165)))",,
195,195,479390.8235,1425516.728,481296.0794,1423866.728,"MultiPolygon (((120.81150887 12.88229647, 120.81589191 12.88975731, 120.82466959 12.88976359, 120.8290637 12.88230902, 120.8246804 12.87484839, 120.81590324 12.87484212, 120.81150887 12.88229647)))",3,2
196,196,479390.8235,1423866.728,481296.0794,1422216.728,"MultiPolygon (((120.81152046 12.86738128, 120.81590324 12.87484212, 120.8246804 12.87484839, 120.82907425 12.86739381, 120.8246912 12.85993318, 120.81591456 12.85992692, 120.81152046 12.86738128)))",3,2
197,197,479390.8235,1422216.728,481296.0794,1420566.728,"MultiPolygon (((120.81153203 12.85246607, 120.81591456 12.85992692, 120.8246912 12.85993318, 120.82908479 12.85247859, 120.82470199 12.84501795, 120.81592587 12.8450117, 120.81153203 12.85246607)))",3,2
198,198,479390.8235,1420566.728,481296.0794,1418916.728,"MultiPolygon (((120.81154359 12.83755085, 120.81592587 12.8450117, 120.82470199 12.84501795, 120.82909531 12.83756335, 120.82471276 12.83010271, 120.81593716 12.83009646, 120.81154359 12.83755085)))",1,1
199,199,479390.8235,1418916.728,481296.0794,1417266.728,"MultiPolygon (((120.81155513 12.8226356, 120.81593716 12.83009646, 120.82471276 12.83010271, 120.82910582 12.82264809, 120.82472353 12.81518745, 120.81594844 12.81518121, 120.81155513 12.8226356)))",1,1
200,200,479390.8235,1417266.728,481296.0794,1415616.728,"MultiPolygon (((120.81156666 12.80772034, 120.81594844 12.81518121, 120.82472353 12.81518745, 120.82911632 12.80773282, 120.82473428 12.80027217, 120.8159597 12.80026593, 120.81156666 12.80772034)))",1,1
201,201,479390.8235,1415616.728,481296.0794,1413966.728,"MultiPolygon (((120.81157818 12.79280507, 120.8159597 12.80026593, 120.82473428 12.80027217, 120.8291268 12.79281753, 120.82474501 12.78535687, 120.81597096 12.78535065, 120.81157818 12.79280507)))",3,2
202,202,479390.8235,1413966.728,481296.0794,1412316.728,"MultiPolygon (((120.81158968 12.77788978, 120.81597096 12.78535065, 120.82474501 12.78535687, 120.82913727 12.77790222, 120.82475573 12.77044156, 120.81598219 12.77043534, 120.81158968 12.77788978)))",3,2
203,203,479390.8235,1412316.728,481296.0794,1410666.728,"MultiPolygon (((120.81160117 12.76297447, 120.81598219 12.77043534, 120.82475573 12.77044156, 120.82914773 12.7629869, 120.82476644 12.75552623, 120.81599342 12.75552002, 120.81160117 12.76297447)))",3,2
